precursor	mirbase_id	chr	strand	start	end	exp_mature	Cerebellum	Heart	Testis	Brain	Kidney	closest_gene	gene_strand	distance
hsa-mir-381	MI0000789	chr14	+	101512257	101512331	hsa-miR-381-3p	905.36	205.08	413.42	351.56	97.1	MEG9	+	23918
hsa-mir-1197	MI0006656	chr14	+	101491901	101491988	hsa-miR-1197	0	0.24	1.18	2.86	0	SNORD114-31	+	-32256
hsa-mir-498	MI0003142	chr19	+	54177451	54177574	hsa-miR-498	0	0	3.55	0	0	DPRX	+	-37189
hsa-mir-373	MI0000781	chr19	+	54291959	54292027	hsa-miR-373-5p	0	0	0.39	0	0	NLRP12	-	4829
hsa-mir-487a	MI0002471	chr14	+	101518783	101518862	hsa-miR-487a-3p	25.4	1.19	19.71	35.85	0.89	MEG9	+	17387
hsa-mir-216b	MI0005569	chr2	-	56227849	56227930	hsa-miR-216b-5p	1.56	0.71	7.49	1.59	3.93	EFEMP1	-	76552
hsa-mir-513a-1	MI0003191	chrX	-	146294981	146295109	hsa-miR-513a-3p	0	0	115.47	0	1.07	CXorf51A	-	398733
hsa-mir-513a-1	MI0003191	chrX	-	146294981	146295109	hsa-miR-513a-3p	0	0	115.47	0	1.07	CXorf51B	-	398733
hsa-mir-4482	MI0016843	chr10	-	106028094	106028163	none	0	0	0	0	0	GSTO2	+	-469
hsa-mir-3199-1	MI0014247	chr22	-	28316513	28316600	hsa-miR-3199	0.22	0	0.79	0.16	0	TTC28-AS1	+	0
hsa-mir-200a	MI0000737	chr1	+	1103243	1103332	hsa-miR-200a-3p	2.45	6.66	12.61	7.14	1917.5	TTLL10	+	5955
hsa-mir-3927	MI0016435	chr9	-	112273755	112273825	none	0	0	0	0	0	PTPN3	-	13163
hsa-mir-4732	MI0017369	chr17	-	27188673	27188748	hsa-miR-4732-5p	0	1.67	1.18	0.32	0.89	ERAL1	+	602
hsa-mir-5707	MI0019315	chr7	+	158384308	158384388	none	0	0	0	0	0	PTPRN2	-	-3827
hsa-mir-1247	MI0006382	chr14	-	102026624	102026759	hsa-miR-1247-5p	0.22	1.9	10.64	6.5	1.07	DIO3	+	-930
hsa-mir-542	MI0003686	chrX	-	133675371	133675467	hsa-miR-542-5p	0.45	2.14	32.71	1.9	13.57	MGC16121	-	-1941
hsa-mir-15a	MI0000069	chr13	-	50623255	50623337	hsa-miR-15a-3p	0.22	0	0	0	0.18	DLEU2	-	0
hsa-mir-92a-2	MI0000094	chrX	-	133303568	133303642	none	0	0	0	0	0	CCDC160	+	-67436
hsa-mir-548h-4	MI0006414	chr8	-	26906370	26906480	hsa-miR-548h-5p	0	0	0	0	0.36	ADRA1A	-	183449
hsa-mir-548aj-1	MI0016814	chr6	-	132436332	132436403	none	0	0	0	0	0	LOC100507254	+	-18716
hsa-mir-1275	MI0006415	chr6	-	33967749	33967828	hsa-miR-1275	0.45	0	0.39	0.63	1.07	GRM4	-	-21796
hsa-mir-770	MI0005118	chr14	+	101318727	101318824	hsa-miR-770-5p	9.8	0	0.39	6.35	0	MEG3	+	0
hsa-mir-4426	MI0016765	chr1	+	192685458	192685520	none	0	0	0	0	0	RGS13	+	-56019
hsa-mir-4536-2	MI0019149	chrX	+	55477928	55478015	hsa-miR-4536-3p	0	0.24	0	0	0	MAGEH1	+	524
hsa-mir-3178	MI0014212	chr16	-	2581923	2582006	none	0	0	0	0	0	CEMP1	-	515
hsa-mir-4442	MI0016785	chr3	-	25706364	25706430	hsa-miR-4442	0.22	0	0.39	0.16	0.54	TOP2B	-	577
hsa-mir-3925	MI0016433	chr6	-	36590213	36590289	hsa-miR-3925-3p	0	0	0.39	0	0	SRSF3	+	17970
hsa-mir-30c-2	MI0000254	chr6	-	72086663	72086734	hsa-miR-30c-2-3p	367.13	183.43	25.22	158.96	1495.19	LINC00472	-	-37416
hsa-mir-203a	MI0000283	chr14	+	104583742	104583851	hsa-miR-203a	36.09	45.2	22.86	151.03	505.48	ASPG	+	-4697
hsa-mir-2682	MI0012063	chr1	-	98510798	98510907	hsa-miR-2682-3p	0	0	0	0.16	0	DPYD	-	124184
hsa-mir-9-3	MI0000468	chr15	+	89911248	89911337	hsa-miR-9-5p	34278.2	790.81	228.97	56691.3	1358.47	LOC254559	+	9937
hsa-mir-509-2	MI0005530	chrX	-	146340278	146340368	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51A	-	444030
hsa-mir-509-2	MI0005530	chrX	-	146340278	146340368	hsa-miR-509-5p	0	0	122.57	0	0.71	CXorf51B	-	444030
hsa-mir-891b	MI0005534	chrX	-	145082571	145082649	hsa-miR-891b	0	0	0.39	0	0	CXorf1	+	171202
hsa-mir-4303	MI0015834	chr12	-	98389161	98389226	none	0	0	0	0	0	SLC9A7P1	-	-458394
hsa-mir-520a	MI0003149	chr19	+	54194135	54194219	hsa-miR-520a-5p	0	0	10.25	0	0	DPRX	+	-53873
hsa-mir-1185-2	MI0003821	chr14	+	101510535	101510620	hsa-miR-1185-2-3p	0.45	0	0.39	0	0	MEG9	+	25629
hsa-mir-193a	MI0000487	chr17	+	29887015	29887102	hsa-miR-193a-5p	327.7	124.19	40.99	75.67	50.16	RAB11FIP4	+	-21784
hsa-mir-513c	MI0006649	chrX	-	146271222	146271305	hsa-miR-513c-5p	0.22	0	339.32	1.11	0.89	CXorf51A	-	374974
hsa-mir-513c	MI0006649	chrX	-	146271222	146271305	hsa-miR-513c-5p	0.22	0	339.32	1.11	0.89	CXorf51B	-	374974
hsa-mir-3188	MI0014232	chr19	+	18392887	18392971	hsa-miR-3188	2.23	0.71	0	2.38	0	JUND	-	-456
hsa-mir-1302-9	MI0015978	chr15	-	102500662	102500799	none	0	0	0	0	0	WASH3P	+	-218
hsa-mir-1254-2	MI0016747	chr10	+	23682334	23682396	hsa-miR-1254	0.22	0.48	0	1.11	0.54	OTUD1	+	45803
hsa-mir-5696	MI0019303	chr2	+	101925912	101925996	none	0	0	0	0	0	RNF149	-	-735
hsa-mir-6503	MI0022215	chr11	-	59976544	59976629	hsa-miR-6503-3p	0	0.48	0	0	0	MS4A6A	-	24406
hsa-mir-513c	MI0006649	chrX	-	146271222	146271305	hsa-miR-513c-5p	0.22	0	339.32	1.11	0.89	CXorf51A	-	374974
hsa-mir-513c	MI0006649	chrX	-	146271222	146271305	hsa-miR-513c-5p	0.22	0	339.32	1.11	0.89	CXorf51B	-	374974
hsa-mir-5571	MI0019115	chr22	+	23228447	23228559	none	0	0	0	0	0	IGLL5	+	1402
hsa-mir-424	MI0001446	chrX	-	133680644	133680741	hsa-miR-424-5p	0.22	14.27	894.62	2.06	94.24	MGC16121	-	0
hsa-mir-548ag-2	MI0016794	chr20	+	59139620	59139683	hsa-miR-548ag	0.89	0.24	0	1.43	0.18	LOC284757	+	-242307
hsa-mir-130b	MI0000748	chr22	+	22007593	22007674	hsa-miR-130b-3p	102.03	87.07	74.49	86.3	83.18	SDF2L1	+	-9006
hsa-mir-4510	MI0016876	chr15	+	36219057	36219124	hsa-miR-4510	1.78	0	0	0.32	0	ATPBD4-AS1	+	-67856
hsa-mir-92a-1	MI0000093	chr13	+	92003568	92003645	hsa-miR-92a-3p	655.18	1405.57	855.6	1366.73	1764.71	GPC5	+	47291
hsa-mir-508	MI0003195	chrX	-	146318431	146318545	hsa-miR-508-3p	12.03	5	21754.2	11.11	1114.48	CXorf51A	-	422183
hsa-mir-508	MI0003195	chrX	-	146318431	146318545	hsa-miR-508-3p	12.03	5	21754.2	11.11	1114.48	CXorf51B	-	422183
hsa-mir-124-1	MI0000443	chr8	-	9760898	9760982	hsa-miR-124-3p	9006.79	4.76	6.7	5731.24	8.57	LINC00599	-	60
hsa-mir-507	MI0003194	chrX	-	146312502	146312595	hsa-miR-507	0	0	98.92	0	0.18	CXorf51A	-	416254
hsa-mir-507	MI0003194	chrX	-	146312502	146312595	hsa-miR-507	0	0	98.92	0	0.18	CXorf51B	-	416254
hsa-mir-363	MI0000764	chrX	-	133303408	133303482	hsa-miR-363-3p	147.25	260.99	35.86	236.54	1005.42	CCDC160	+	-67596
hsa-mir-4418	MI0016754	chr1	+	22592732	22592793	none	0	0	0	0	0	WNT4	-	-123214
hsa-mir-4456	MI0016802	chr5	-	535955	535997	none	0	0	0	0	0	SLC9A3	-	11407
hsa-mir-516b-1	MI0003172	chr19	+	54240099	54240188	hsa-miR-516b-5p	0.22	1.67	69.76	0.63	0	NLRP12	-	56668
hsa-mir-6770-3	MI0026419	chr16	-	18473208	18473267	hsa-miR-6770-5p	0	0	0.39	0	0	NOMO2	-	-37916
hsa-mir-6859-3	MI0026421	chr16	-	67052	67119	hsa-miR-6859-3p	0.45	0	0	0	0	DDX11L10	+	2963
hsa-mir-4663	MI0017292	chr8	-	124228028	124228103	none	0	0	0	0	0	C8orf76	-	-4094
hsa-mir-1185-2	MI0003821	chr14	+	101510535	101510620	hsa-miR-1185-2-3p	0.45	0	0.39	0	0	MEG9	+	25629
hsa-mir-1302-4	MI0006365	chr2	-	208133999	208134148	none	0	0	0	0	0	KLF7	-	102030
hsa-mir-487b	MI0003530	chr14	+	101512792	101512875	hsa-miR-487b-3p	118.52	4.28	20.89	61.55	0.89	MEG9	+	23374
hsa-mir-6817	MI0022662	chr22	+	25851613	25851678	none	0	0	0	0	0	CRYBB2P1	+	0
hsa-mir-570	MI0003577	chr3	+	195426272	195426368	hsa-miR-570-3p	0	1.67	1.97	0	0.71	SDHAP2	+	-10538
hsa-mir-9-2	MI0000467	chr5	-	87962671	87962757	hsa-miR-9-3p	4.46	15.23	26.8	211.32	14.1	LINC00461	-	0
hsa-mir-3648	MI0016048	chr21	+	9825832	9826011	hsa-miR-3648	0	0	0.39	0.16	0	TEKT4P2	-	81179
hsa-mir-519c	MI0003148	chr19	+	54189723	54189809	hsa-miR-519c-3p	0	0	6.7	0	0.18	DPRX	+	-49461
hsa-mir-19b-1	MI0000074	chr13	+	92003446	92003532	hsa-miR-19b-1-5p	0	0.71	1.97	0.48	0.36	GPC5	+	47404
hsa-mir-16-1	MI0000070	chr13	-	50623109	50623197	hsa-miR-16-1-3p	0	0.24	0.39	0	0.54	DLEU2	-	0
hsa-mir-656	MI0003678	chr14	+	101533061	101533138	hsa-miR-656-5p	0.45	0	0	0.32	0	MEG9	+	3111
hsa-mir-541	MI0005539	chr14	+	101530832	101530915	hsa-miR-541-3p	10.25	0	0.79	11.58	0.18	MEG9	+	5334
hsa-mir-548ae-2	MI0016780	chr5	-	57825870	57825936	none	0	0	0	0	0	GAPT	+	33686
hsa-mir-422a	MI0001444	chr15	-	64163129	64163218	hsa-miR-422a	0	0.95	0	0	0.36	DAPK2	-	-36018
hsa-mir-7158	MI0023618	chr2	+	6114794	6114864	hsa-miR-7158-3p	1.78	0.24	0	13.64	0	LOC150622	+	0
hsa-mir-4514	MI0016880	chr15	-	81289758	81289814	none	0	0	0	0	0	MESDC1	+	-3482
hsa-mir-299	MI0000744	chr14	+	101490131	101490193	hsa-miR-299-3p	38.54	8.56	41.38	14.6	1.96	SNORD114-31	+	-30486
hsa-mir-505	MI0003190	chrX	-	139006307	139006390	hsa-miR-505-5p	8.02	2.14	1.97	13.33	1.07	CXorf66	-	-31495
hsa-mir-196a-2	MI0000279	chr12	+	54385522	54385631	hsa-miR-196a-3p	0	0	2.76	0	6.43	HOXC10	+	-1461
hsa-mir-596	MI0003608	chr8	+	1765397	1765473	none	0	0	0	0	0	ARHGEF10	+	6677
hsa-mir-3937	MI0016593	chrX	+	39520470	39520575	hsa-miR-3937	0.67	0	0	3.01	0.71	LOC286442	-	-333855
hsa-mir-5689	MI0019294	chr6	+	10439950	10440027	none	0	0	0	0	0	LINC00518	-	-4896
hsa-mir-4704	MI0017337	chr13	+	66792382	66792456	none	0	0	0	0	0	PCDH9	-	84511
hsa-mir-3185	MI0014227	chr17	-	46801770	46801837	none	0	0	0	0	0	HOXB-AS5	+	0
hsa-mir-3913-2	MI0016418	chr12	+	69978503	69978602	hsa-miR-3913-3p	0	0	0.39	0.32	0	CCT2	+	607
hsa-let-7d	MI0000065	chr9	+	96941116	96941202	hsa-let-7d-5p	13447.4	5371.99	2170.73	3434.68	1518.58	PTPDC1	+	-68979
hsa-mir-8088	MI0025924	chrX	-	52079699	52079784	none	0	0	0	0	0	XAGE2	+	-32295
hsa-mir-132	MI0000449	chr17	-	1953202	1953302	hsa-miR-132-3p	234.58	55.67	36.26	558.27	15.35	HIC1	+	-5092
hsa-mir-548y	MI0016595	chr14	-	48230198	48230307	hsa-miR-548y	0	0.24	0	0	0	LINC00648	-	-3850
hsa-mir-655	MI0003677	chr14	+	101515887	101515983	hsa-miR-655-3p	2.23	1.9	18.52	5.71	1.43	MEG9	+	20266
hsa-mir-143	MI0000459	chr5	+	148808481	148808586	hsa-miR-143-3p	10965.7	442661	425913	35732	453473	IL17B	-	-49644
hsa-mir-3166	MI0014196	chr11	+	87909670	87909761	none	0	0	0	0	0	RAB38	-	-1036
hsa-mir-513a-2	MI0003192	chrX	-	146307344	146307470	hsa-miR-513a-5p	0	0	43.75	0	0	CXorf51A	-	411096
hsa-mir-513a-2	MI0003192	chrX	-	146307344	146307470	hsa-miR-513a-5p	0	0	43.75	0	0	CXorf51B	-	411096
hsa-mir-520d	MI0003164	chr19	+	54223350	54223436	hsa-miR-520d-3p	0.45	0	1.18	0.32	0	NLRP12	-	73420
hsa-mir-485	MI0002469	chr14	+	101521756	101521828	hsa-miR-485-5p	51.68	2.14	12.22	49.18	1.25	MEG9	+	14421
hsa-mir-3118-4	MI0014207	chr15	+	21038124	21038198	none	0	0	0	0	0	POTEB	-	2504
hsa-mir-548m	MI0006400	chrX	-	94318140	94318225	none	0	0	0	0	0	LOC643486	-	-1273861
hsa-mir-99a	MI0000101	chr21	+	17911409	17911489	hsa-miR-99a-5p	1813.61	5259.46	2090.33	1610.1	2128.65	LINC00478	+	0
hsa-mir-1246	MI0006381	chr2	-	177465708	177465780	hsa-miR-1246	5.57	0.48	27.98	5.08	7.14	LOC375295	-	-28530
hsa-mir-3180-4	MI0016408	chr16	-	15248707	15248859	hsa-miR-3180	2.9	0	0.39	0.63	0	RRN3	-	60550
hsa-mir-1185-1	MI0003844	chr14	+	101509314	101509399	hsa-miR-1185-5p	2.9	3.33	18.92	6.66	0	MEG9	+	26850
hsa-mir-302e	MI0006417	chr11	+	7255997	7256068	none	0	0	0	0	0	SYT9	+	17114
hsa-mir-21	MI0000077	chr17	+	57918627	57918698	hsa-miR-21-3p	0.89	1.67	5.12	1.43	3.75	VMP1	+	-676
hsa-mir-663a	MI0003672	chr20	-	26188822	26188914	hsa-miR-663a	0.45	0	0.39	1.75	0.18	LOC284801	-	0
hsa-mir-4464	MI0016812	chr6	+	91022461	91022552	none	0	0	0	0	0	BACH2	-	-15835
hsa-mir-142	MI0000458	chr17	-	56408593	56408679	hsa-miR-142-5p	0	15.46	68.97	0.16	21.6	BZRAP1-AS1	+	0
hsa-mir-22	MI0000078	chr17	-	1617197	1617281	hsa-miR-22-5p	2.9	39.25	114.29	5.55	16.06	WDR81	+	-2537
hsa-mir-4471	MI0016822	chr8	+	101394991	101395073	none	0	0	0	0	0	RNF19A	-	-72613
hsa-mir-451b	MI0017360	chr17	+	27188389	27188456	none	0	0	0	0	0	ERAL1	+	-318
hsa-mir-759	MI0004065	chr13	+	53384185	53384275	none	0	0	0	0	0	PCDH8	-	33835
hsa-mir-1303	MI0006370	chr5	+	154065336	154065421	none	0	0	0	0	0	LARP1	+	27042
hsa-mir-8054	MI0025890	chr11	-	23440651	23440736	none	0	0	0	0	0	LOC100500938	-	558680
hsa-mir-496	MI0003136	chr14	+	101526910	101527011	hsa-miR-496	0.45	0	0.79	0.63	0	MEG9	+	9238
hsa-mir-1269a	MI0006406	chr4	+	67142542	67142646	hsa-miR-1269a	0.45	0	3.15	0.32	10.53	LOC100144602	+	-583439
hsa-mir-216a	MI0000292	chr2	-	56216085	56216194	hsa-miR-216a-3p	0	0	0	0.16	0.18	EFEMP1	-	64788
hsa-mir-1281	MI0006428	chr22	+	41488517	41488570	none	0	0	0	0	0	EP300	+	45
hsa-mir-3156-1	MI0014184	chr10	+	45659462	45659536	none	0	0	0	0	0	LOC338579	+	0
hsa-mir-548ab	MI0016752	chr3	-	103242877	103242960	hsa-miR-548ab	0	0	0.79	0.95	0.89	ZPLD1	+	1044193
hsa-mir-223	MI0000300	chrX	+	65238712	65238821	hsa-miR-223-5p	0.67	3.09	1.58	0.16	1.07	VSIG4	-	2760
hsa-mir-376a-2	MI0003529	chr14	+	101506406	101506485	hsa-miR-376a-3p	1.34	1.67	18.92	2.54	0.89	MEG9	+	29764
hsa-let-7c	MI0000064	chr21	+	17912148	17912231	hsa-let-7c-3p	0	1.43	1.18	0.95	0.89	LINC00478	+	0
hsa-mir-4662a	MI0017290	chr8	+	125834227	125834293	hsa-miR-4662a-5p	0.45	3.33	0.79	0.32	5.18	MTSS1	-	-93498
hsa-mir-3179-1	MI0014213	chr16	+	14995365	14995448	none	0	0	0	0	0	NOMO1	+	-5352
hsa-let-7e	MI0000066	chr19	+	52196039	52196117	hsa-let-7e-3p	3.79	3.09	3.94	8.09	3.93	LINC00085	+	477
hsa-mir-5007	MI0017874	chr13	+	55748589	55748683	none	0	0	0	0	0	LINC00558	+	-1298336
hsa-mir-3180-3	MI0014217	chr16	-	18496035	18496128	hsa-miR-3180-5p	0	0	0	0.63	0	NOMO2	-	-15055
hsa-mir-514a-3	MI0003200	chrX	-	146366159	146366246	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51A	-	469911
hsa-mir-514a-3	MI0003200	chrX	-	146366159	146366246	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51B	-	469911
hsa-mir-4527	MI0016894	chr18	+	44906867	44906936	none	0	0	0	0	0	IER3IP1	-	-204123
hsa-mir-4315-2	MI0015983	chr17	-	62818148	62818220	none	0	0	0	0	0	PLEKHM1P	-	0
hsa-mir-4523	MI0016890	chr17	+	27717680	27717748	hsa-miR-4523	0	0	0	0.16	0	TAOK1	+	196
hsa-mir-144	MI0000460	chr17	-	27188551	27188636	hsa-miR-144-5p	14.93	9537.78	1382.52	279.69	5204.53	ERAL1	+	480
hsa-mir-548ad	MI0016770	chr2	+	35696471	35696552	none	0	0	0	0	0	LOC100288911	-	885341
hsa-mir-129-1	MI0000252	chr7	+	127847925	127847996	hsa-miR-129-5p	3481.53	5.95	109.17	4718.13	70.68	LEP	+	33336
hsa-mir-495	MI0003135	chr14	+	101500092	101500173	hsa-miR-495-5p	4.68	2.85	2.76	2.54	0	MEG9	+	36076
hsa-mir-4682	MI0017314	chr10	+	121718025	121718104	hsa-miR-4682	0	0	0	0.16	0	SEC23IP	+	-13856
hsa-mir-4472-2	MI0016824	chr12	-	116866057	116866123	none	0	0	0	0	0	LINC00173	+	-105105
hsa-mir-1283-2	MI0006430	chr19	+	54261486	54261572	hsa-miR-1283	0	0	2.76	0	0	NLRP12	-	35284
hsa-mir-345	MI0000825	chr14	+	100774196	100774293	hsa-miR-345-3p	0	0.48	0	0	0	SLC25A29	-	-1337
hsa-mir-181c	MI0000271	chr19	+	13985513	13985622	hsa-miR-181c-5p	914.49	215.31	48.08	715.33	154.93	NANOS3	+	2442
hsa-mir-379	MI0000787	chr14	+	101488403	101488469	hsa-miR-379-5p	5826.23	459.64	5234.49	5910.67	524.75	SNORD114-31	+	-28758
hsa-mir-4453	MI0016799	chr4	+	153457580	153457668	none	0	0	0	0	0	DKFZP434I0714	+	0
hsa-mir-4313	MI0015843	chr15	-	76054556	76054656	none	0	0	0	0	0	DNM1P35	-	22139
hsa-mir-519a-1	MI0003178	chr19	+	54255651	54255735	hsa-miR-519a-3p	0	0	3.15	0	0	NLRP12	-	41121
hsa-mir-4276	MI0015882	chr4	+	175344946	175345015	none	0	0	0	0	0	HPGD	-	66314
hsa-mir-4697	MI0017330	chr11	-	133768399	133768476	none	0	0	0	0	0	LOC283174	-	0
hsa-mir-518a-2	MI0003173	chr19	+	54242587	54242673	hsa-miR-518a-3p	0	0	1.18	0	0	NLRP12	-	54183
hsa-mir-518a-1	MI0003170	chr19	+	54234260	54234344	hsa-miR-518a-3p	0	0	1.18	0	0	NLRP12	-	62512
hsa-mir-3157	MI0014185	chr10	-	97824072	97824156	hsa-miR-3157-3p	0	0	0	0.32	0.18	LOC728558	-	0
hsa-mir-181a-1	MI0000289	chr1	-	198828173	198828282	hsa-miR-181a-3p	68.61	65.19	11.43	235.27	51.76	LOC100131234	-	0
hsa-mir-222	MI0000299	chrX	-	45606421	45606530	hsa-miR-222-3p	14.93	125.38	17.73	70.44	51.05	CXorf36	-	546276
hsa-mir-92b	MI0003560	chr1	+	155164968	155165063	hsa-miR-92b-5p	7.57	0.24	1.58	4.44	0.89	THBS3	-	317
hsa-let-7d	MI0000065	chr9	+	96941116	96941202	hsa-let-7d-5p	13447.4	5371.99	2170.73	3434.68	1518.58	PTPDC1	+	-68979
hsa-mir-4431	MI0016771	chr2	-	52929660	52929753	hsa-miR-4431	0	2.14	0	0	0	ASB3	-	-967365
hsa-mir-3678	MI0016079	chr17	+	73402150	73402243	none	0	0	0	0	0	GRB2	-	-361
hsa-mir-5681b	MI0019293	chr8	-	75460785	75460844	none	0	0	0	0	0	FLJ39080	+	-51258
hsa-mir-4643	MI0017270	chr6	+	92231378	92231455	hsa-miR-4643	0	0	0	0.16	0	MAP3K7	-	-934359
hsa-mir-4717	MI0017352	chr16	+	2324621	2324692	hsa-miR-4717-5p	0	0	0	0.16	0	ABCA3	-	1188
hsa-mir-497	MI0003138	chr17	-	6921230	6921341	hsa-miR-497-5p	271.79	143.46	288.88	52.35	110.48	C17orf49	+	388
hsa-mir-497	MI0003138	chr17	-	6921230	6921341	hsa-miR-497-5p	271.79	143.46	288.88	52.35	110.48	RNASEK-C17orf49	+	388
hsa-mir-4323	MI0015853	chr19	-	42637597	42637665	none	0	0	0	0	0	LOC100505622	+	0
hsa-mir-298	MI0005523	chr20	-	57393281	57393368	none	0	0	0	0	0	GNAS-AS1	-	-606
hsa-mir-1257	MI0006391	chr20	-	60528602	60528718	hsa-miR-1257	0	0	0.39	0	0.36	CDH4	+	12930
hsa-mir-4736	MI0017373	chr17	-	56413337	56413383	none	0	0	0	0	0	BZRAP1-AS1	+	0
hsa-mir-670	MI0003933	chr11	+	43581206	43581303	hsa-miR-670-5p	0.67	0	0.79	0	0	TTC17	+	-64724
hsa-mir-3148	MI0014175	chr8	-	29814788	29814864	none	0	0	0	0	0	LOC286135	+	3666
hsa-mir-4703	MI0017336	chr13	+	52126725	52126803	hsa-miR-4703-3p	0	0.71	0.39	0	1.25	WDFY2	+	31682
hsa-mir-1199	MI0020340	chr19	+	14184173	14184291	none	0	0	0	0	0	LOC113230	+	0
hsa-mir-219a-2	MI0000740	chr9	-	131154897	131154993	hsa-miR-219a-5p	0	0	0.79	5.71	0.18	URM1	+	603
hsa-mir-320b-1	MI0003776	chr1	+	117214371	117214449	hsa-miR-320b	687.04	20.46	83.94	532.26	36.59	IGSF3	-	-4058
hsa-mir-3622a	MI0016013	chr8	+	27559194	27559276	hsa-miR-3622a-5p	5.79	0	1.18	3.81	0.54	SCARA3	+	-24909
hsa-mir-5708	MI0019316	chr8	+	81153624	81153708	hsa-miR-5708	0	0	0	0	0.18	TPD52	-	-69789
hsa-mir-4532	MI0016899	chr20	+	56470450	56470500	hsa-miR-4532	3.79	35.21	35.08	2.86	0.89	PMEPA1	-	-183859
hsa-mir-101-1	MI0000103	chr1	-	65524117	65524191	hsa-miR-101-5p	0.22	3.81	0.39	0	0.71	AK4	+	-89042
hsa-mir-329-2	MI0001726	chr14	+	101493437	101493520	hsa-miR-329-3p	13.14	0.24	3.15	11.9	0	SNORD114-31	+	-33792
hsa-mir-411	MI0003675	chr14	+	101489662	101489757	hsa-miR-411-5p	83.1	154.64	1153.15	208.62	84.6	SNORD114-31	+	-30017
hsa-mir-365a	MI0000767	chr16	+	14403142	14403228	hsa-miR-365a-3p	6.46	76.37	45.32	24.43	23.02	MKL2	+	-42513
hsa-mir-4309	MI0015837	chr14	+	103005981	103006063	none	0	0	0	0	0	ANKRD9	-	-29854
hsa-mir-4536-2	MI0019149	chrX	+	55477928	55478015	hsa-miR-4536-3p	0	0.24	0	0	0	MAGEH1	+	524
hsa-mir-2052	MI0010486	chr8	+	75617928	75617982	none	0	0	0	0	0	FLJ39080	+	0
hsa-mir-4314	MI0015846	chr17	+	7991374	7991465	none	0	0	0	0	0	ALOX12B	-	-354
hsa-mir-514a-2	MI0003199	chrX	-	146363461	146363548	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51A	-	467213
hsa-mir-514a-2	MI0003199	chrX	-	146363461	146363548	hsa-miR-514a-3p	16.71	5.23	57169.1	3.49	2905.61	CXorf51B	-	467213
hsa-mir-548a-3	MI0003612	chr8	-	105496597	105496693	hsa-miR-548a-3p	0.45	1.43	1.18	0.79	1.78	LRP12	-	-4767
hsa-let-7c	MI0000064	chr21	+	17912148	17912231	hsa-let-7c-3p	0	1.43	1.18	0.95	0.89	LINC00478	+	0
hsa-mir-6770-2	MI0026418	chr16	+	16423162	16423221	hsa-miR-6770-5p	0	0	0.39	0	0	PKD1P1	+	0
hsa-mir-548x	MI0014244	chr21	-	20058408	20058482	none	0	0	0	0	0	TMPRSS15	-	282439
hsa-mir-382	MI0000790	chr14	+	101520643	101520718	hsa-miR-382-3p	8.02	3.33	14.98	13.64	1.78	MEG9	+	15531
hsa-mir-4477b	MI0016830	chr9	+	68415308	68415388	hsa-miR-4477b	0.22	0	0	0	0	LOC642236	-	12396
hsa-mir-7975	MI0025751	chr19	-	55634593	55634660	none	0	0	0	0	0	PPP1R12C	-	5626
hsa-mir-4275	MI0015883	chr4	+	28821204	28821290	none	0	0	0	0	0	STIM2	+	-1794202
hsa-let-7a-3	MI0000062	chr22	+	46508629	46508702	hsa-let-7a-5p	561489	184921	87834.8	187022	81620.8	PPARA	+	37798
hsa-mir-145	MI0000461	chr5	+	148810209	148810296	hsa-miR-145-5p	31.63	721.58	874.52	89.32	314.32	IL17B	-	-51372
hsa-mir-3680-1	MI0016081	chr16	-	21517370	21517456	none	0	0	0	0	0	LOC100271836	-	3769
hsa-mir-510	MI0003197	chrX	-	146353853	146353926	hsa-miR-510-5p	0	0	74.88	0	1.78	CXorf51A	-	457605
hsa-mir-510	MI0003197	chrX	-	146353853	146353926	hsa-miR-510-5p	0	0	74.88	0	1.78	CXorf51B	-	457605
hsa-mir-493	MI0003132	chr14	+	101335397	101335485	hsa-miR-493-5p	37.65	27.6	189.96	28.56	27.84	MEG3	+	-8038
hsa-mir-3118-3	MI0014133	chr1	-	143424141	143424215	none	0	0	0	0	0	LOC100130000	+	-262916
hsa-mir-516b-2	MI0003167	chr19	+	54228696	54228780	hsa-miR-516b-5p	0.22	1.67	69.76	0.63	0	NLRP12	-	68076
hsa-mir-29b-1	MI0000105	chr7	-	130562218	130562298	hsa-miR-29b-1-5p	5.12	3.57	0.79	11.58	2.32	LOC646329	-	-3454
hsa-mir-6511a-1	MI0022223	chr16	+	15019794	15019860	hsa-miR-6511a-5p	0.22	0	0.39	0.32	0	NPIP	+	11441
hsa-mir-4787	MI0017434	chr3	+	50712511	50712594	hsa-miR-4787-3p	12.25	3.57	2.36	10.47	0.36	DOCK3	+	79
hsa-mir-4522	MI0016889	chr17	-	25620936	25621022	none	0	0	0	0	0	WSB1	+	-85
hsa-mir-3591	MI0017383	chr18	-	56118312	56118384	hsa-miR-3591-5p	0	2.38	0	0	0	ALPK2	-	-30099
hsa-mir-8078	MI0025914	chr18	-	112256	112339	none	0	0	0	0	0	ROCK1P1	+	0
