precursor	mirbase_id	chr	strand	start	end	type	intron_exon_pos	orientation_to_host	distance_upstream_exon	exp_mature	host_symbol	host_start	host_end	host_strand	Cerebellum	Heart	Testis	Brain	Kidney
hsa-mir-576	MI0003583	chr4	+	110409854	110409951	intronic	3	sense	15512	hsa-miR-576-3p	SEC24B	110354971	110461615	+	5.57	15.46	11.43	4.44	8.39
hsa-mir-2467	MI0017432	chr2	-	240273419	240273499	intronic	2	sense	874	none	HDAC4	239969864	240322643	-	0	0	0	0	0
hsa-mir-511	MI0003127	chr10	+	17887107	17887193	intronic	5	sense	4302	hsa-miR-511-3p	MRC1	17851362	17953178	+	0	13.32	76.46	0.32	38.55
hsa-mir-6731	MI0022576	chr1	-	25245836	25245907	intronic	2	sense	8158	none	RUNX3	25226002	25291501	-	0	0	0	0	0
hsa-mir-4438	MI0016781	chr2	+	214622791	214622883	intronic	10	sense	267977	hsa-miR-4438	SPAG16	214149103	215275225	+	0	0	0.39	0	0
hsa-mir-582	MI0003589	chr5	-	58999432	58999529	intronic	1	sense	189466	hsa-miR-582-5p	PDE4D	58264866	59783925	-	0.22	1.67	0.39	3.81	2.68
hsa-mir-760	MI0005567	chr1	+	94312388	94312467	intronic	1	antisense	159	hsa-miR-760	BCAR3	94027343	94312706	-	121.19	0.95	17.73	154.84	0.89
hsa-mir-339	MI0000815	chr7	-	1062569	1062662	intronic	2	sense	104231	hsa-miR-339-3p	C7orf50	1036623	1177893	-	24.06	37.59	15.76	37.6	9.82
hsa-mir-1229	MI0006319	chr5	-	179225278	179225346	intronic	12	sense	1	hsa-miR-1229-5p	MGAT4B	179224598	179233952	-	0	0	0	0.16	0
hsa-mir-302b	MI0000772	chr4	-	113569641	113569713	intronic	10	antisense	651	hsa-miR-302b-5p	LARP7	113558120	113578748	+	0	0.24	0.39	0	0
hsa-mir-4641	MI0017268	chr6	+	41566461	41566526	intronic	16	sense	773	hsa-miR-4641	FOXP4	41514164	41570122	+	0.22	0	0	0.16	0.18
hsa-mir-921	MI0005713	chr1	-	166123980	166124035	intronic	1	sense	11188	none	FAM78B	166039256	166135958	-	0	0	0	0	0
hsa-mir-548aq	MI0019130	chr3	-	185485635	185485692	intronic	2	sense	55249	none	IGF2BP2	185361527	185542827	-	0	0	0	0	0
hsa-mir-3198-2	MI0017335	chr12	-	54625181	54625260	exonic	5	sense	0	none	CBX5	54624731	54673915	-	0	0	0	0	0
hsa-mir-4780	MI0017424	chr2	-	88382038	88382118	intronic	1	antisense	14518	hsa-miR-4780	SMYD1	88367299	88412902	+	0	0	0	0.48	0
hsa-mir-6833	MI0022678	chr6	+	32147593	32147653	intronic	3	sense	53	none	RNF5	3488986	3491394	+	0	0	0	0	0
hsa-mir-6811	MI0022656	chr2	+	238419574	238419631	intronic	3	sense	136	hsa-miR-6811-5p	MLPH	238395878	238463961	+	0	0.48	0	0.16	0
hsa-mir-6720	MI0022555	chr6	-	1390549	1390646	exonic	1	antisense	0	hsa-miR-6720-3p	FOXF2	1390069	1395832	+	8.47	0.24	0	6.19	0
hsa-mir-3614	MI0016004	chr17	-	54968631	54968716	exonic	9	sense	0	none	TRIM25	54965270	54991409	-	0	0	0	0	0
hsa-mir-6508	MI0022220	chr21	+	40818936	40818995	intronic	1	sense	1081	hsa-miR-6508-3p	SH3BGR	40817797	40887433	+	2.23	0.95	0	4.28	1.61
hsa-mir-1322	MI0006653	chr8	-	10682883	10682953	intronic	5	sense	709	hsa-miR-1322	PINX1	10622884	10697299	-	0.67	0.24	0	0.32	0
hsa-mir-6721	MI0022556	chr6	-	32137807	32137893	exonic	6	sense	0	hsa-miR-6721-5p	AGPAT1	3515812	3525717	-	0.45	0	0	1.11	0
hsa-mir-548ba	MI0025747	chr2	+	49286742	49286797	intronic	2	antisense	8561	hsa-miR-548ba	FSHR	49189296	49381666	-	0.22	3.33	5.52	1.43	19.99
hsa-mir-218-1	MI0000294	chr4	+	20529898	20530007	intronic	15	sense	3103	hsa-miR-218-1-3p	SLIT2	20255235	20620788	+	0	0.48	0	1.27	0
hsa-mir-4723	MI0017359	chr17	+	26687677	26687757	intronic	4	sense	83	hsa-miR-4723-5p	TMEM199	26684687	26689089	+	0.22	0.24	0	0.63	0
hsa-mir-6829	MI0022674	chr3	-	195609200	195609266	intronic	5	sense	762	hsa-miR-6829-5p	TNK2	195590236	195635880	-	1.34	0	0	0.32	0
hsa-mir-3651	MI0016051	chr9	-	95054740	95054829	intronic	1	sense	894	none	IARS	94972625	95056038	-	0	0	0	0	0
hsa-mir-199a-1	MI0000242	chr19	-	10928102	10928172	intronic	15	antisense	5049	hsa-miR-199a-3p	DNM2	10828729	10942586	+	3.34	284.3	775.2	3.33	462.46
hsa-mir-1260b	MI0014197	chr11	+	96074602	96074690	exonic	1	antisense	0	hsa-miR-1260b	MAML2	95711440	96076344	-	0.89	8.8	14.19	1.11	15.35
hsa-mir-876	MI0005542	chr9	-	28863624	28863704	intronic	2	sense	84112	hsa-miR-876-5p	LINGO2	27948084	29212998	-	0	0	0	0.16	0.18
hsa-mir-488	MI0003123	chr1	-	176998499	176998581	intronic	5	sense	189	hsa-miR-488-3p	ASTN1	176830203	177134024	-	0.22	0.48	0.39	17.61	0.18
hsa-mir-6872	MI0022719	chr3	+	50310667	50310728	intronic	7	sense	1756	none	SEMA3B	50305040	50314572	+	0	0	0	0	0
hsa-mir-302b	MI0000772	chr4	-	113569641	113569713	intronic	10	antisense	651	hsa-miR-302b-3p	LARP7	113558120	113578748	+	1.56	118.48	0.79	0.79	0.18
hsa-mir-1258	MI0006392	chr2	-	180725563	180725635	intronic	1	sense	193	hsa-miR-1258	ZNF385B	180306711	180726232	-	9.58	0.24	0.39	7.3	0
hsa-mir-128-2	MI0000727	chr3	+	35785968	35786051	intronic	18	sense	511	hsa-miR-128-3p	ARPP21	35680666	35835988	+	1509.08	30.69	68.18	1200.47	42.12
hsa-mir-3907	MI0016410	chr7	-	151130575	151130725	intronic	3	sense	2541	none	CRYGN	151127056	151137099	-	0	0	0	0	0
hsa-mir-6757	MI0022602	chr12	+	53450728	53450796	intronic	10	sense	1099	none	TENC1	53440810	53458162	+	0	0	0	0	0
hsa-mir-4707	MI0017340	chr14	-	23426159	23426238	exonic	1	sense	0	hsa-miR-4707-3p	HAUS4	23415437	23426351	-	0	0.48	0.39	0	0.36
hsa-mir-4756	MI0017397	chr20	-	52684947	52685024	intronic	1	sense	1948	none	BCAS1	52560079	52687304	-	0	0	0	0	0
hsa-mir-6833	MI0022678	chr6	+	32147593	32147653	intronic	3	sense	53	none	RNF5	32146162	32148570	+	0	0	0	0	0
hsa-mir-8063	MI0025899	chr15	-	37265022	37265102	intronic	8	sense	63913	none	MEIS2	37183222	37393500	-	0	0	0	0	0
hsa-mir-4427	MI0016766	chr1	+	233759898	233759965	intronic	1	sense	9626	none	KCNK1	233749750	233808258	+	0	0	0	0	0
hsa-mir-3128	MI0014145	chr2	-	178120673	178120738	intronic	1	sense	7393	hsa-miR-3128	NFE2L2	178095031	178129859	-	0	0	0	0	0.71
hsa-mir-761	MI0003941	chr1	-	52302016	52302074	exonic	4	sense	0	none	NRD1	52254866	52344609	-	0	0	0	0	0
hsa-mir-4501	MI0016864	chr13	+	97079483	97079546	intronic	1	sense	335660	hsa-miR-4501	HS6ST3	96743093	97491816	+	0	0	0	0.48	0.18
hsa-mir-361	MI0000760	chrX	-	85158641	85158712	intronic	9	sense	7554	hsa-miR-361-3p	CHM	85116185	85302566	-	57.03	23.55	14.19	38.08	6.07
hsa-mir-6862-2	MI0026415	chr16	+	28735573	28735642	intronic	11	antisense	1	hsa-miR-6862-5p	EIF3C	28699879	28747050	+	0.89	0	0	0.48	0
hsa-mir-6876	MI0022723	chr8	+	25202918	25202990	intronic	25	sense	2895	hsa-miR-6876-5p	DOCK5	25042287	25270619	+	0	0	0	0.16	0
hsa-mir-4742	MI0017380	chr1	-	224585929	224586013	intronic	11	sense	204	hsa-miR-4742-3p	WDR26	224572845	224622001	-	7.35	1.9	0	3.97	2.32
hsa-let-7g	MI0000433	chr3	-	52302294	52302377	intronic	2	sense	2351	hsa-let-7g-3p	WDR82	52288438	52312659	-	2.23	2.62	2.36	2.54	1.78
hsa-mir-1287	MI0006349	chr10	-	100154975	100155064	exonic	8	sense	0	hsa-miR-1287-5p	PYROXD2	100143322	100174978	-	3.34	17.84	1.18	6.98	1.61
hsa-mir-328	MI0000804	chr16	-	67236224	67236298	intronic	13	antisense	37	hsa-miR-328-5p	ELMO3	67233028	67237927	+	0.22	0	0	0.48	0
hsa-mir-6721	MI0022556	chr6	-	32137807	32137893	exonic	6	sense	0	hsa-miR-6721-5p	AGPAT1	3483711	3493616	-	0.45	0	0	1.11	0
hsa-mir-3658	MI0016058	chr1	+	165877158	165877213	exonic	7	sense	0	hsa-miR-3658	UCK2	165796732	165880855	+	0	0	0.39	0	0
hsa-mir-877	MI0005561	chr6	+	30552109	30552194	intronic	13	sense	1	hsa-miR-877-3p	ABCF1	30539170	30559309	+	0.45	0	0	0.32	0
hsa-mir-4308	MI0015839	chr14	-	55344831	55344911	intronic	1	sense	24128	none	GCH1	55308724	55369542	-	0	0	0	0	0
hsa-mir-330	MI0000803	chr19	-	46142252	46142345	intronic	4	sense	2554	hsa-miR-330-5p	EML2	46112658	46148775	-	100.47	2.38	1.58	188.79	3.57
hsa-mir-6889	MI0022736	chr22	-	41648996	41649054	intronic	11	sense	1258	none	RANGAP1	41641615	41682216	-	0	0	0	0	0
hsa-mir-644a	MI0003659	chr20	+	33054130	33054223	intronic	15	sense	4104	none	ITCH	32951041	33099198	+	0	0	0	0	0
hsa-mir-3151	MI0014178	chr8	+	104166842	104166917	intronic	1	sense	13557	hsa-miR-3151-5p	BAALC	104152921	104242533	+	0.22	0	0	0.32	0
hsa-mir-6788	MI0022633	chr18	-	10759582	10759647	intronic	23	sense	56	none	PIEZO2	10670244	11148761	-	0	0	0	0	0
hsa-mir-199b	MI0000282	chr9	-	131007000	131007109	intronic	14	antisense	2376	hsa-miR-199b-5p	DNM1	130965663	131017527	+	0.45	158.45	40.99	0.63	18.74
hsa-mir-6856	MI0022702	chr9	+	133501684	133501750	intronic	11	sense	2586	none	FUBP3	133454960	133513739	+	0	0	0	0	0
hsa-mir-558	MI0003564	chr2	+	32757220	32757313	intronic	61	sense	602	none	BIRC6	32582096	32843965	+	0	0	0	0	0
hsa-mir-6785	MI0022630	chr17	+	73494629	73494709	intronic	29	sense	10	hsa-miR-6785-5p	KIAA0195	73452664	73496533	+	0	0	0	0.32	0
hsa-mir-4315-1	MI0015844	chr17	-	43552729	43552801	exonic	4	sense	0	none	PLEKHM1	43513266	43568146	-	0	0	0	0	0
hsa-mir-8077	MI0025913	chr19	+	42855283	42855357	intronic	14	sense	747	none	MEGF8	42829761	42882921	+	0	0	0	0	0
hsa-mir-106b	MI0000734	chr7	-	99691616	99691697	intronic	13	sense	99	hsa-miR-106b-5p	MCM7	99690404	99699427	-	276.24	506.51	380.31	183.71	496.02
hsa-mir-3935	MI0016591	chr16	+	56279432	56279535	intronic	2	sense	52904	none	GNAO1	56225251	56391356	+	0	0	0	0	0
hsa-mir-6796	MI0022641	chr19	+	40875753	40875814	intronic	6	sense	1967	none	PLD3	40854332	40884390	+	0	0	0	0	0
hsa-mir-15b	MI0000438	chr3	+	160122376	160122473	intronic	5	sense	84	hsa-miR-15b-3p	SMC4	160117430	160152741	+	0	13.08	16.95	0.48	5.18
hsa-mir-6878	MI0022725	chr1	+	150464821	150464886	intronic	6	sense	683	none	TARS2	150459920	150479749	+	0	0	0	0	0
hsa-mir-186	MI0000483	chr1	-	71533314	71533399	intronic	8	sense	1560	hsa-miR-186-3p	ZRANB2	71528974	71546972	-	0	1.43	3.15	0.32	0.54
hsa-mir-6861	MI0022708	chr12	-	112601062	112601125	exonic	75	sense	0	hsa-miR-6861-5p	HECTD4	112597992	112819896	-	0.22	0	0	0	0
hsa-mir-4746	MI0017385	chr19	+	4445975	4446045	intronic	10	antisense	1	hsa-miR-4746-5p	UBXN6	4445003	4457791	-	0.67	0.48	0.79	0.32	0.71
hsa-mir-548ac	MI0016762	chr1	-	117102646	117102733	intronic	1	sense	10792	none	CD58	117057156	117113715	-	0	0	0	0	0
hsa-mir-4640	MI0017267	chr6	+	30858660	30858749	intronic	5	sense	1453	hsa-miR-4640-3p	DDR1	30851861	30867933	+	0	0	0	0.48	0
hsa-mir-4531	MI0016898	chr19	-	45156956	45157002	intronic	3	antisense	3579	hsa-miR-4531	PVR	45147098	45169428	+	0	0	0	0	0.18
hsa-mir-6835	MI0022680	chr6	+	34208450	34208513	intronic	1	sense	3356	hsa-miR-6835-5p	HMGA1	34204577	34214008	+	0	0	0	0.16	0
hsa-mir-128-2	MI0000727	chr3	+	35785968	35786051	intronic	18	sense	511	hsa-miR-128-2-5p	ARPP21	35680666	35835988	+	32.97	0	0	14.75	0.18
hsa-mir-101-2	MI0000739	chr9	+	4850297	4850375	intronic	8	sense	747	hsa-miR-101-3p	RCL1	4792834	4861064	+	1029.44	12691.5	25553.3	3494.17	22292.1
hsa-mir-4476	MI0016828	chr9	-	36893459	36893528	intronic	7	sense	29824	none	PAX5	36838531	37034476	-	0	0	0	0	0
hsa-mir-6075	MI0020352	chr5	-	1510877	1510971	intronic	1	sense	12854	none	LPCAT1	1461542	1524076	-	0	0	0	0	0
hsa-mir-7856	MI0025526	chr1	-	86823315	86823370	intronic	12	sense	1100	none	ODF2L	86812507	86862025	-	0	0	0	0	0
hsa-mir-6777	MI0022622	chr17	-	17716794	17716859	intronic	18	sense	24	hsa-miR-6777-5p	SREBF1	17714663	17740325	-	0	0	0	0.16	0.18
hsa-mir-1245b	MI0017431	chr2	-	189842819	189842887	intronic	1	antisense	3525	hsa-miR-1245b-5p	COL3A1	189839099	189877472	+	0	0.24	0	0	0.18
hsa-mir-3184	MI0014226	chr17	-	28444104	28444178	intronic	1	antisense	223	none	NSRP1	28443825	28513493	+	0	0	0	0	0
hsa-mir-500b	MI0015903	chrX	+	49775280	49775358	intronic	3	sense	85356	hsa-miR-500b-3p	CLCN5	49687225	49863892	+	0	0	0.39	0.32	0.71
hsa-mir-9-1	MI0000466	chr1	-	156390133	156390221	intronic	2	sense	6369	hsa-miR-9-5p	C1orf61	156374055	156399184	-	34278.2	790.81	228.97	56691.3	1358.47
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-5p	ABHD16A	3034406	3050818	-	0.22	0	0.39	0	0
hsa-mir-4329	MI0015901	chrX	-	112023946	112024016	intronic	10	sense	98	none	AMOT	112018105	112084043	-	0	0	0	0	0
hsa-mir-5002	MI0017868	chr3	+	123851776	123851872	intronic	1	sense	38025	hsa-miR-5002-5p	KALRN	123813558	124440036	+	0	0.24	0.39	2.06	0.18
hsa-mir-4315-1	MI0015844	chr17	-	43552729	43552801	exonic	4	sense	0	none	PLEKHM1	128328	183214	-	0	0	0	0	0
hsa-mir-5584	MI0019141	chr1	+	45011165	45011224	intronic	2	sense	132771	hsa-miR-5584-5p	RNF220	44870960	45117396	+	5.35	0	0.39	34.58	0
hsa-mir-6738	MI0022583	chr1	-	155921064	155921127	intronic	19	sense	147	none	ARHGEF2	155916630	155948336	-	0	0	0	0	0
hsa-mir-215	MI0000291	chr1	-	220291195	220291304	intronic	12	antisense	3379	hsa-miR-215-5p	IARS2	220267455	220321383	+	0.67	146.08	493.81	2.22	222.04
hsa-mir-3154	MI0014182	chr9	-	131007226	131007309	intronic	14	antisense	2602	hsa-miR-3154	DNM1	130965663	131017527	+	0	0	0.79	0	0
hsa-mir-1184-2	MI0015971	chrX	-	154612749	154612847	exonic	1	antisense	0	none	F8A1	154114635	154116336	+	0	0	0	0	0
hsa-mir-1298	MI0003938	chrX	+	113949650	113949761	intronic	2	sense	101311	hsa-miR-1298-5p	HTR2C	113818551	114144624	+	5.35	0	0.39	4.12	0.36
hsa-mir-423	MI0001445	chr17	+	28444097	28444190	intronic	1	sense	216	hsa-miR-423-3p	NSRP1	28443825	28513493	+	3598.48	972.33	511.15	887.15	527.97
hsa-mir-6762	MI0022607	chr12	+	113729328	113729413	intronic	23	sense	525	hsa-miR-6762-3p	TPCN1	113659260	113736389	+	1.78	0	0	0.48	0.18
hsa-mir-6133	MI0021278	chr7	+	132975635	132975742	intronic	3	sense	1765	none	EXOC4	132937823	133750513	+	0	0	0	0	0
hsa-mir-1302-5	MI0006366	chr20	-	49231173	49231322	intronic	4	sense	1217	none	FAM65C	49202647	49253426	-	0	0	0	0	0
hsa-mir-551a	MI0003556	chr1	-	3477259	3477354	intronic	4	sense	19035	hsa-miR-551a	MEGF6	3404506	3528059	-	0	0	0.39	0.32	0
hsa-mir-501	MI0003185	chrX	+	49774330	49774413	intronic	3	sense	84406	hsa-miR-501-5p	CLCN5	49687225	49863892	+	13.59	0.95	5.52	2.86	12.85
hsa-mir-5008	MI0017876	chr1	-	228129291	228129384	intronic	1	sense	6110	hsa-miR-5008-5p	WNT9A	228109165	228135676	-	0	0.24	0	0	0
hsa-mir-8066	MI0025902	chr4	-	102161952	102162029	intronic	1	sense	105867	none	PPP3CA	101944587	102268628	-	0	0	0	0	0
hsa-mir-5004	MI0017870	chr6	+	33406108	33406214	exonic	9	sense	0	none	SYNGAP1	33387847	33421466	+	0	0	0	0	0
hsa-mir-6818	MI0022663	chr22	+	30403038	30403102	intronic	9	sense	4056	hsa-miR-6818-5p	MTMR3	30279158	30426857	+	0.22	0.24	0	0	0
hsa-mir-6807	MI0022652	chr19	+	59061652	59061743	intronic	16	sense	1	hsa-miR-6807-5p	TRIM28	59055836	59062082	+	0.22	0	0	0.79	0
hsa-mir-3064	MI0017375	chr17	-	62496892	62496957	intronic	11	sense	1171	hsa-miR-3064-3p	DDX5	62494374	62502484	-	0	0	0	0.16	0
hsa-mir-6761	MI0022606	chr12	+	112237638	112237709	intronic	10	sense	1592	hsa-miR-6761-5p	ALDH2	112204691	112247789	+	8.24	4.28	3.55	6.82	10.35
hsa-mir-4676	MI0017307	chr10	+	74480787	74480858	intronic	1	sense	28728	hsa-miR-4676-3p	MCU	74451889	74647452	+	0	0.24	0	0	0
hsa-mir-5688	MI0019292	chr3	+	85434860	85434942	intronic	1	sense	426041	hsa-miR-5688	CADM2	85008133	86123579	+	0	0	0	0.95	0
hsa-mir-4429	MI0016768	chr2	-	11680731	11680803	intronic	1	antisense	6351	none	GREB1	11674242	11782912	+	0	0	0	0	0
hsa-mir-326	MI0000808	chr11	-	75046136	75046230	intronic	1	sense	16402	hsa-miR-326	ARRB1	74971166	75062875	-	14.03	0.71	0.39	3.33	1.07
hsa-mir-499a	MI0003183	chr20	+	33578179	33578300	intronic	22	sense	66	hsa-miR-499a-3p	MYH7B	33543704	33590240	+	0	21.89	0	0	0
hsa-mir-6729	MI0022574	chr1	+	12089215	12089279	intronic	5	sense	17	none	MIIP	12079299	12092106	+	0	0	0	0	0
hsa-mir-7110	MI0022961	chr3	+	122880641	122880726	intronic	16	sense	339	none	PDIA5	122785856	122880953	+	0	0	0	0	0
hsa-mir-4525	MI0016892	chr17	-	80626109	80626183	intronic	1	sense	30148	hsa-miR-4525	RAB40B	80614943	80656598	-	0.22	0	0	0.16	0
hsa-mir-532	MI0003205	chrX	+	49767754	49767844	intronic	3	sense	77830	hsa-miR-532-5p	CLCN5	49687225	49863892	+	204.95	196.04	339.32	105.34	1428.26
hsa-mir-767	MI0003763	chrX	-	151561893	151562001	intronic	1	sense	57617	hsa-miR-767-5p	GABRA3	151335634	151619831	-	9.8	0	9.85	64.41	0
hsa-mir-199a-1	MI0000242	chr19	-	10928102	10928172	intronic	15	antisense	5049	hsa-miR-199a-5p	DNM2	10828729	10942586	+	4.68	216.74	355.09	5.08	211.87
hsa-mir-5193	MI0018172	chr3	-	49843570	49843678	exonic	22	sense	0	none	UBA7	49842638	49851391	-	0	0	0	0	0
hsa-mir-6757	MI0022602	chr12	+	53450728	53450796	intronic	10	sense	1099	none	TENC1	53440810	53458162	+	0	0	0	0	0
hsa-mir-1279	MI0006426	chr12	-	69666937	69666998	exonic	10	antisense	0	none	CPSF6	69633317	69668138	+	0	0	0	0	0
hsa-mir-8076	MI0025912	chr3	-	113150965	113151047	intronic	2	sense	1365	none	WDR52	113005777	113160361	-	0	0	0	0	0
hsa-mir-4305	MI0015835	chr13	-	40238171	40238272	intronic	3	antisense	3153	none	COG6	40229764	40365802	+	0	0	0	0	0
hsa-mir-3074	MI0014181	chr9	-	97848296	97848376	intronic	14	antisense	3295	hsa-miR-3074-3p	C9orf3	97488951	97849500	+	0	0	0	0	0.18
hsa-mir-1277	MI0006419	chrX	+	117520357	117520434	intronic	2	sense	7942	hsa-miR-1277-3p	WDR44	117480036	117583923	+	0	0.71	6.31	0.32	1.25
hsa-mir-6766	MI0022611	chr15	-	89869970	89870041	intronic	8	sense	102	hsa-miR-6766-3p	POLG	89859536	89878026	-	0	0	0	0.16	0
hsa-mir-4257	MI0015856	chr1	+	150524405	150524490	intronic	2	sense	2034	none	ADAMTSL4	150521898	150533412	+	0	0	0	0	0
hsa-mir-3940	MI0016597	chr19	-	6416421	6416522	exonic	14	sense	0	hsa-miR-3940-3p	KHSRP	6413119	6424822	-	0	0	0	1.27	0.18
hsa-mir-620	MI0003634	chr12	-	116586365	116586459	intronic	2	sense	88814	none	MED13L	116396381	116714991	-	0	0	0	0	0
hsa-mir-188	MI0000484	chrX	+	49768109	49768194	intronic	3	sense	78185	hsa-miR-188-3p	CLCN5	49687225	49863892	+	0	0.24	0.79	0.16	1.25
hsa-mir-1236	MI0006326	chr6	-	31924616	31924717	intronic	3	sense	1	none	RDBP	3205452	3212447	-	0	0	0	0	0
hsa-mir-548aj-2	MI0016815	chrX	-	37883148	37883239	intronic	1	antisense	17227	none	SYTL5	37865835	37988073	+	0	0	0	0	0
hsa-mir-4658	MI0017286	chr7	-	99754228	99754292	exonic	7	sense	0	hsa-miR-4658	C7orf43	99752043	99756302	-	0	0	0	0.16	0
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-5p	ABHD16A	31654726	31671137	-	0.22	0	0.39	0	0
hsa-mir-632	MI0003647	chr17	+	30677128	30677221	exonic	1	sense	0	none	ZNF207	30677157	30697468	+	0	0	0	0	0
hsa-mir-3918	MI0016424	chr6	-	159185693	159185785	exonic	17	antisense	0	hsa-miR-3918	SYTL3	159071046	159185908	+	0	0	0	0	0.18
hsa-mir-631	MI0003645	chr15	-	75645952	75646026	intronic	5	antisense	910	none	NEIL1	75639331	75647592	+	0	0	0	0	0
hsa-mir-4259	MI0015858	chr1	-	159869769	159869869	intronic	1	sense	17	none	CCDC19	159842154	159869906	-	0	0	0	0	0
hsa-mir-208a	MI0000251	chr14	-	23857805	23857875	intronic	29	sense	193	hsa-miR-208a-5p	MYH6	23851199	23877486	-	0	14.51	0	0	0
hsa-mir-6882	MI0022729	chr15	-	75132983	75133048	intronic	4	sense	698	hsa-miR-6882-3p	ULK3	75128459	75135552	-	0.22	0	0	0.32	0
hsa-mir-1913	MI0008334	chr6	-	166922842	166922921	intronic	5	sense	844	hsa-miR-1913	RPS6KA2	166822854	167275771	-	0	0.24	0	0	0.18
hsa-mir-361	MI0000760	chrX	-	85158641	85158712	intronic	9	sense	7554	hsa-miR-361-5p	CHM	85116185	85302566	-	239.71	93.5	63.45	119.3	47.66
hsa-mir-6832	MI0022677	chr6	+	31601564	31601635	intronic	17	sense	140	hsa-miR-6832-5p	PRRC2A	31588450	31605554	+	0	0	0	0.16	0
hsa-mir-1254-1	MI0006388	chr10	+	70519075	70519171	intronic	15	sense	1941	hsa-miR-1254	CCAR1	70480971	70551309	+	0.22	0.48	0	1.11	0.54
hsa-mir-579	MI0003586	chr5	-	32394484	32394581	intronic	11	sense	684	hsa-miR-579-5p	ZFR	32354456	32444844	-	0.67	0.95	0.39	0.79	0.18
hsa-mir-5590	MI0019150	chr2	+	135615390	135615443	intronic	2	sense	12543	hsa-miR-5590-3p	ACMSD	135596186	135659602	+	0	0	0	0	0.89
hsa-mir-224	MI0000301	chrX	-	151127050	151127130	intronic	6	sense	1181	hsa-miR-224-5p	GABRE	151121596	151143151	-	0	14.99	5.12	0.32	3.39
hsa-mir-938	MI0005760	chr10	-	29891193	29891275	intronic	3	sense	55623	none	SVIL	29746277	30024730	-	0	0	0	0	0
hsa-mir-4657	MI0017285	chr7	-	44921347	44921399	exonic	1	sense	0	hsa-miR-4657	PURB	44915892	44924960	-	0	0	0	0.32	0.54
hsa-mir-328	MI0000804	chr16	-	67236224	67236298	intronic	13	antisense	37	hsa-miR-328-3p	ELMO3	67233028	67237927	+	391.86	12.37	9.06	240.82	21.78
hsa-mir-8053	MI0025889	chr4	+	47654686	47654760	intronic	13	antisense	810	none	CORIN	47596018	47840059	-	0	0	0	0	0
hsa-mir-6873	MI0022720	chr6	-	33255004	33255066	intronic	8	sense	66	hsa-miR-6873-3p	WDR46	4720654	4731048	-	0.45	0.24	0	0.16	0
hsa-mir-3164	MI0014194	chr11	+	68850644	68850726	intronic	18	sense	1677	hsa-miR-3164	TPCN2	68816350	68858072	+	5.79	2.14	0.39	0.63	0.36
hsa-mir-605	MI0003618	chr10	+	53059333	53059415	intronic	2	sense	146243	none	PRKG1	52750911	54058110	+	0	0	0	0	0
hsa-mir-4284	MI0015893	chr7	+	73125647	73125727	intronic	1	antisense	8205	hsa-miR-4284	STX1A	73113535	73134017	-	0	0	0.39	0	0
hsa-mir-608	MI0003621	chr10	+	102734742	102734841	intronic	3	sense	1376	none	SEMA4G	102732286	102745373	+	0	0	0	0	0
hsa-mir-4797	MI0017444	chr3	-	197020749	197020819	intronic	3	sense	2398	hsa-miR-4797-3p	DLG1	196769431	197025447	-	0.45	0	0.39	0.16	0.18
hsa-mir-4503	MI0016866	chr14	-	37421514	37421596	intronic	1	sense	219890	none	SLC25A21	37147126	37641865	-	0	0	0	0	0
hsa-mir-5094	MI0017983	chr15	-	90393869	90393953	intronic	4	sense	20754	none	AP3S2	90373831	90437617	-	0	0	0	0	0
hsa-mir-103a-2	MI0000108	chr20	+	3898141	3898218	intronic	5	sense	444	hsa-miR-103a-3p	PANK2	3869486	3904502	+	26042.6	9731.91	2557.34	18683.7	21396.8
hsa-mir-30c-1	MI0000736	chr1	+	41222956	41223044	intronic	5	sense	4038	hsa-miR-30c-5p	NFYC	41157242	41237275	+	972.86	2965.3	558.05	829.24	3612.24
hsa-mir-6717	MI0022551	chr14	-	21491473	21491545	exonic	3	sense	0	hsa-miR-6717-5p	NDRG2	21484922	21493935	-	1.78	0.48	0.79	2.38	0
hsa-mir-4779	MI0017423	chr2	-	86420149	86420231	intronic	1	sense	2230	hsa-miR-4779	IMMT	86371055	86422893	-	0	0.24	0	0	0
hsa-mir-4646	MI0017273	chr6	-	31668806	31668868	intronic	3	sense	183	hsa-miR-4646-5p	ABHD16A	2997616	3014028	-	0.22	0	0.39	0	0
hsa-mir-616	MI0003629	chr12	-	57912946	57913042	intronic	1	sense	1159	hsa-miR-616-5p	DDIT3	57910371	57914300	-	0	0.24	0	0.16	0.18
hsa-mir-589	MI0003599	chr7	-	5535450	5535548	intronic	3	sense	4571	hsa-miR-589-5p	FBXL18	5515428	5553399	-	58.59	7.85	1.97	58.38	9.46
hsa-mir-139	MI0000261	chr11	-	72326107	72326174	intronic	1	sense	27124	hsa-miR-139-3p	PDE2A	72287184	72385497	-	12.25	7.14	3.55	160.55	12.49
hsa-mir-5572	MI0019117	chr15	+	80873444	80873580	exonic	17	sense	0	none	ARNT2	80696692	80890277	+	0	0	0	0	0
